Name,Etiology,Symptoms
interdigital mortons neuroma,"Pathophysiology
mechanism of injury
not fully understood
compression/tension of the interdigital nerve around the
transverse intermetatarsal ligament
repetitive microtrauma
pathoanatomy
perineural fibrosis and entrapment of the interdigital nerve","pain
worse with weight-bearing or wearing
narrow toe box shoes
(e.g. high heels)
relief of symptoms by removing shoes and massaging foot
paresthesia
most commonly on the plantar aspect of web space"
concussions mild traumatic brain injury,"Pathophysiology
direct blow to the head, face, neck or elsewhere with force transmitted to the head
complex neurometabolic cascade
resulting in the typical signs and symptoms of a concussion
abnormal neuronal ionic flux -- headache, photophobia, phonophobia
altered release of neurotransmitters (glutamate) -- impaired cognition, amnesia, slowed reaction time
energy depletion, in an effort to correct the above underlying biochemical imbalances -- vulnerable to second injury (second-hit phenomenon)
may or may not experience
loss of consciousness
not required for diagnosis of concussion
Risk factors
sports with
player-to-player contact
football, wrestling, soccer, basketball at highest risk
prior concussion
2-8x higher risk of sustaining another concussion
female
age < 18 years
mood disorders, learning disorders, history of migraines
mostly complicates diagnosis and recovery rather than predisposing to concussion
Guidelines
International Conference on Concussion in Sport
meeting held every 4 years
focuses on the prevention, diagnosis and management of sports-related concussion
generates a consensus statement summarizing the updated practice guidelines
consensus statement created at the first meeting in 2001
grading system for concussions removed in 2004
all classification systems removed in 2008
newer assessment tools and
timing of return to play
was the primary focus of the most recent meeting","somatic symptoms
headache
most common symptom
present in 70%
of concussed athletes
types
myofascial tension headache -- pain localized to posterior neck at base of skull
post-traumatic headache -- pressure localized to forehead and/or top of head
dizziness
balance problems
nausea
and/or vomiting
vision changes
sensitivity to light (
photophobia
) or sound (
phonophobia
)
cognitive symptoms
feeling ""in a fog""
or slowed down
difficulty concentrating
forgetful
emotional symptoms
lability
irritability
sadness
sleep disturbance
change in amount of sleep (more or less)
difficulty falling asleep,
insomnia
drowsiness"
supracondylar fracture  pediatric,"Pathophysiology
mechanism of injury
fall on outstretched extremity
Associated injuries
neuropraxia
anterior interosseous nerve (AIN) neurapraxia (branch of median n.)
the most common nerve palsy seen with supracondylar humerus fractures
radial nerve palsy
second most common neurapraxia (close second)
ulnar nerve palsy
seen with flexion-type injury patterns
nearly all cases of neurapraxia following supracondylar humerus fractures resolve spontaneously
further diagnostic studies are not indicated in the acute setting
vascular compromise (5-17%)
rich collateral circulation can maintain circulation despite vascular injury
ipsilateral distal radius fractures","pain
refusal to move the elbow"
posterior shoulder instability and dislocation,"Pathophysiology
mechanism
trauma (posterior dislocation)
50% of cases that present for evaluation
usually dramatic presentation
microtrauma (posterior instability)
may lead to a labral tear, incomplete labral avulsion, or erosion of the posterior labrum
may lead to gradual stretching of capsule and patulous posterior capsule
common in lineman, weight lifters, overhead athletes
usually insidious onset and presentation
seizures and electric shock
tetanic muscle contraction pulls the humeral head out
anterior instability and dislocations are still more common with seizures
however, posterior dislocations are unlikely to occur without significant trauma (ie. seizures)
biomechanical forces
flexed, adducted, and internally rotated arm is a high-risk position
Associated conditions
see table below
Lesions Associated with Posterior Instability
Avulsion of posterior band of IGHL
Associated with acute subluxations
Posterior Bankart lesions
Characterized by detachment of posterior inferior capsulolabral complex
Reverse Hill-Sachs lesions
Associated with locked and difficult to reduce dislocations
Posterior labral cyst
Associated with chronic reverse Bankart lesion
Posterior glenoid rim fracture
Associated with chronic reverse Bankart lesion
Lesser tuberosity fracture
Associated with acute posterior dislocation
Large capsular pouch
Can see with MRI with contrast, often with chronic posterior instabiltiy","pain with flexion, adduction, and internal rotation of the arm"
femoral shaft fractures,"Mechanism
traumatic
high-energy
most common in
younger population
often a result of high-speed motor vehicle accidents
low-energy
more common in
elderly
often a result of a fall from standing
gunshot
Fracture patterns
transverse
pure bending moment
spiral
rotational moment
oblique
uneven bending moment
segmental
4-point bending moment
comminuted
high-speed crush or torsion mechanism
Associated conditions
orthopaedic
ipsilateral femoral neck fracture
2-6% incidence
often basicervical, vertical, and nondisplaced
lack of displacement due to majority of energy dissipated through femoral shaft
missed 19-31% of time
bilateral femur fractures
significant risk of pulmonary complications
increased rate of mortality as compared to unilateral fractures
ipsilateral tibial shaft fractures
ipsilateral acetabular fracture
thoracic
pulmonary injury
early surgical treatment of femur fracture can lead to ARDS
approximately 2% of cases
treatment can proceed when patient is appropriately resuscitated
cerebral hemorrhage, subdural hemorrhage
early surgical treatment can exacerbate neurologic injury
intraoperative hypotension can decrease brain perfusion",pain in thigh
kienbocks disease,"Pathophysiology
thought to be caused by
multiple factors
biomechanical factors
ulnar negative variance
leads to increased radial-lunate contact stress
decreased radial inclination
repetitive trauma
anatomic factors
geometry of lunate
vascular supply to lunate
patterns of arterial blood supply have differential incidences of AVN
disruption of venous outflow leading to increased intraosseous pressure
Blood supply to capitate is also poor and may lead to AVN.","dorsal wrist pain
usually
activity related
more often in dominant hand"
articular cartilage defects of knee,"Pathophysiology
mechanism of injury
acute trauma or chronic repetitive overload
impaction resulting in cartilage softening; fissuring; flap tears; or delamination
the cause of OCD is unknown
pathomechanics
impaction forces greater than
24 MPa
will disrupt normal cartilage
cellular biology
cartilage injuries have
limited spontaneous healing and propensity to worsen over time","asymptomatic vs. localized knee pain
may complain of effusion, motion deficits, mechanical symptoms (e.g., catching, instability)"
subtrochanteric fractures,"Pathophysiology
young patients
high-energy mechanism (MVC)
elderly patients
low-energy mechanism (ground level falls)
rule out pathologic or atypical femur fracture
denosumab or bisphosphonate use, particularly alendronate, can be risk factor
Pathoanatomy
deforming forces on the proximal fragment are
abduction
gluteus medius   and gluteus minimus
flexion
iliopsoas
external rotation
short external rotators
deforming forces on distal fragment
adduction & shortening
adductors","hip and thigh pain
inability to bear weight"
osteomyelitis  adult,"Pathophysiology
mechanism of spread
hematogenous
originated or transported by blood
may be due to bacterial or viral systemic illness
most common etiology in children
vertebrae are the most common hematogenous site in adults
S. aureus
is the most common organism
contiguous-spread
associated with previous surgery, trauma, wounds, or
poor vascularity
can be bacterial (most common), mycobacterial, or fungal in nature
direct-inoculation
penetrating injuries
open fractures
surgical contamination
pathobiology
planktonic stage
bacteria attach to an inert substrate and undergo apoptosis to create a matrix for biofilm
biofilm formation
biofilm is characterized by bacteria entering a no-growth, or sessile, phase, which makes them even more resistant to antibiotics that depend on replication to carry out their effect
biofilm is then made of an extracellular polymeric substance or exopolysaccharide
antibiotics are less effective due to difficulty penetrating the biofilm and bacteria lowering their metabolic rate
Associated conditions
orthopaedic manifestations
septic arthritis
abscess
medical conditions
immunosuppression
dialysis
IV drug use
diabetes
poor nutrition
vascular disease
Organism (see table below)
organism
varies by age of the patient
S. aureus
is most common in adults
Osteomyelitis Organism Table
Newborns
(younger than 4 mo)
S. aureus, Enterobacter species, group A and B Streptococcus species
Children
(aged 4 mo to 4 y)
S. aureus, group A Streptococcus species, Kingella kingae, and Enterobacter species
Children, adolescents
(aged 4 y to adult)
S. aureus (80%), group A Streptococcus species, H. influenzae, and Enterobacter species
Adult
S. aureus and occasionally Enterobacter or Streptococcus species
Unusual Osteomyelitis Organism Table
Salmonella
Sickle cell anemia patients (S. aureus is still most common)
Pseudomonas
IV drug use with AC or SC joint infection
or puncture wound through rubber soled shoes
Bartonella
HIV/AIDS patient following cat scratch or bite
Fungal osteomyelitis
Immunosuppressed, long-term IV medications, or parenteral nutrition
Tuberculosis
Manifestations include Potts disease","pain
fever
more common in acute osteomyelitis"
scaphoid lunate advanced collapse slac,"Pathoanatomy
chronic SL ligament injury creates a
DISI deformity
scaphoid is flexed and lunate is extended as scapholunate ligament no longer restrains this articulation
scapholunate angle > 70 degrees
lunate extended > 10 degrees past neutral
resultant scaphoid flexion and lunate extension creates
abnormal distribution of forces across midcarpal and radiocarpal joints
malalignment of concentric joint surfaces
initially affects the
radioscaphoid joint
and progresses to capitolunate joint
notably the
radiolunate joint is spared","difficulty bearing weight across wrist
patients localize pain in region of scapholunate interval
progressive weakness of affected hand
wrist stiffness"
tha pseudotumor metal on metal reactions,"Pathophysiology
mechanism
two different mechanisms have been proposed for formation of pseudotumors:
hypersensitivity to metal ions
local high wear debris
variability in distribution of metal debris, degree of necrosis, and number, type, and arrangement of inflammatory cells
macrophages and lymphocytes are present in all cases with
lymphocytes
being predominant
patient's with high wear have more macrophages than those with primarily hypersensitivity to metal ions
patients with extensive infiltrates of macrophages tend to have smaller lymphocytic aggregates.","common symptoms
may be asymptomatic
groin pain
trendelenburg gait"
lateral ulnar collateral ligament injury plri,"Pathophysiology
traumatic
most often discussed as a result of
elbow dislocation
combination of forearm
supination,
axial loading, valgus
(posterolateral) stress, and elbow extension causes progressive failure of the lateral collateral ligament complex and anterior capsule, resulting posterolateral subluxation of the radial head and external rotation of the semilunar notch away from trochlea
Lateral collateral ligament complex most commonly fails at humeral origin (lateral epicondyle)
common extensor origin can also be avulsed
radioulnar articulation remains intact
iatrogenic injury
from arthroscopic or open procedures of the lateral elbow that go posterior to equator of radial head (e.g. debridement of lateral epicondylitis)
arthroscopic debridement should be kept anterior to equator of the radial head
chronic attenuation
secondary to chronic cubitus
varus malunion
abnormal lateral thrust stretches out the LUCL with time
abnormal triceps vector further stretches LUCL
Associated conditions
elbow dislocations","pain
is the primary symptom
mechanical symptoms
(clicking, catching, etc.)
often with elbow extension and when pushing off from arm of chair"
internal impingement,"Pathophysiology
mechanism
impingement occurs during
maximum arm abduction and external rotation
during late cocking
and
early acceleration phases of throwing
causes
""peel-back"" phenomenon of posterosuperior labrum by the biceps
pathoanatomy
caused by repetitive impingement of the posterior under-surface of the supraspinatus tendon and the posterior superior aspect of the glenoid
pathologic micromotion of the humeral head allows the rotator cuff to become impinged between the humral head and glenoid.
in contrast to
subacromial or ""external"" impingement which occurs on bursal side of rotator cuff
internal impingement covers a spectrum of injuries including
fraying of the articular side of the posterior rotator cuff (supraspinatus-infraspinatus interval)
posterior and superior labral lesions
hypertrophy and scarring of posterior capsule glenoid
(Bennett lesion)
cartilage damage at posterior glenoid
etiology
tightness of posterior band of IGHL
anterior micro-instability
Associated conditions
associated with
GIRD
SLAP tears
SICK scapula and dyskinesia","shoulder pain, sometimes loalized posteriorly
diffuse pain in
posterior shoulder
along the posterior deltoid
shoulder pain
worse
with throwing
especially during late cocking and early acceleration"
neurilemmoma,"Pathoanatomy
can affect motor or sensory nerves
Genetics
often associated with mutations affecting NF2 gene
Malignant transformation
extremely rare","usually asymptomatic
may have
paresthesia
in the distribution of the peripheral nerve"
tibiotalar impingement,"Mechanism
repetitive overuse injuries
trauma
degenerative sequelae
can also be caused by excessive anterolateral soft tissues or posterior soft tissue or osseous abnormalities",pain in anterior ankle
terrible triad injury of elbow,"Characterized by presence of
elbow dislocation
(often associated with posterolateral dislocation or LCL injury )
radial head or neck fracture
coronoid fracture
Pathophysiology
mechanism
fall on supinated forearm and extended arm that results in a combination of
valgus, axial, and posterolateral rotatory forces
produces
posterolateral dislocation
pathoanatomy
structures of elbow fail from lateral to medial
LCL disrupted first
anterior capsule injured next
possible MCL disruption","patients complain of pain, clicking and locking with elbow in extension"
scaphoid fracture nonunion,"Pathophysiology
pathoantomy
lack of stability and/or biology leading to nonunion at fracture site
Associated conditions
osteonecrosis
SNAC (Scaphoid Nonunion Advanced Collapse)","common symptoms
some patients will deny any significant symptoms
wrist pain
worsened with motion
difficulty with grip"
camptodactyly,"Pathophysiology
typically caused by either
abnormal lumbrical insertion/origin
abnormal (adherent, hypoplastic) FDS insertion
other less common causes include
abnormal central slip
abnormal extensor hood
abnormal volar plate
skin, subcutaneous tissue, or dermis contracture
Genetics
most often sporadic
can be inherited with autosomal dominant inheritance with incomplete penetrance/variable expressivity
Associated conditons
can be associated with more widespread developmental dysmorphology syndromes","often goes unnoticed as usually only affects small finger and is very rarely associated with any significant compromise in function
typically painless and without motor/sensory deficits"
snapping extensor carpi ulnaris ecu,"Pathoanatomy
ECU subluxation is secondary to attenuation or
rupture of the ECU subsheath (6th dorsal compartment)
attenuation
remains intact but is stripped at ulnar/palmar attachment to produce a false pouch that the ECU tendon can subluxate/dislocate into
rupture
ulnar sided ECU subsheath tears
ECU subluxates on supination, and reduces on pronation
radial sided ECU subsheath tears
ECU subluxates on supination, and lies
on top of the torn subsheath
on pronation
subluxation and snapping can lead to ECU tendonitis","pain and snapping
over dorsal ulnar wrist"
proximal femur fractures  pediatric,"Pathophysiology
mechanism of injury
usually results from
high-energy trauma
(75-80%)
can result from low-energy trauma if the patient has weakened bone (i.e. tumors, metabolic bone disease)
Associated conditions
30-85% of patients will have associated traumatic injuries
head or facial trauma
splenic lacerations
retroperitoneal hemorrhage
perineal injury
pelvic ring or acetabular fractures
hip dislocation
femur fractures
associated complications
AVN
premature physeal closure","severe pain in affected hip
inability to bear weight"
tha revision,"Pathophysiology
femoral component failure
acetabular component failure
both component failure
neither
Indications
wound healing complications
periprosthetic fracture
implant fracture
hip instability
periprosethic joint infection (PJI)
adverse local soft tissue reaction (MoM)
trunnionosis
osteolysis
aseptic loosening
limb length discrepancy (LLD)
Broad categories
revision surgery without affecting modular OR nonmodular components
revision wound closure
psoas release
heterotopic bone excision
ORIF of periprosthetic fracture
revision surgery affecting modular components only
femoral head and or polyethyelene exchange
titanium sleeve
r
evision surgery nonmodular components
acetabular component exchange
most common
reason for revision in the Charnley ""low-friction"" total hip arthroplasty
femoral component exchange
removal of both components
replaced with new components
replaced with antibiotic spacer
girdlestone","groin pain --> acetabulum
thigh pain --> femoral stem
start-up pain --> component loosening
night pain --> infection
no improvement in pain after surgery --> incorrect diagnosis"
distal clavicle osteolysis,"Pathophysiology
pathoanatomy
caused by
repetitive stress and micro-fracture
in distal clavicle which leads to osteopenia","pain
located at distal clavicle and anterior superior shoulder
insidious in onset
exacerbated by repetitive loading (ie. bench press or push-ups)"
severs disease,"Mechanism
exact etiology is unknown
thought to be due to traction apophysitis and repetitive microtrauma experienced during gait (similar to Osgood Schlatter's Disease)","pain in the area of the calcaneal apophysis in an immature athlete
pain increased with activity or impact
stretch of the triceps surae exacerbates heel pain
can display warmth, erythema, & swelling"
hamstring injuries,"Pathophysiology
Mechanism of injury
intramuscular and musculotendinous injuries
most often occur during
sudden takeoff phase of running
proximal hamstring avulsions
occurs as a
result of hip flexion and knee extension
eccentric contraction of hamstring at the end of swing phase when muscle fibers are at maximal elongation.
Pathobiology
satellite cell plays a role in muscle healing following muscle injury","common symptoms
posterior thigh pain
hamstring tightness
pain with sitting
proximal avulsions"
femoral neck stress fractures,"Pathophysiology
mechanism
repetitive loading of femoral neck exceeds elastic properties of bone causing microscopic fracture
continuous microscopic fractures exceed osteoblastic activity resulting in stress fracture
Genetics
3x higher risk with absent gene
calcitonin receptor C allele
vitamin D recepter C-A haplotype
Associated conditions
""
female athlete triad
""
amenorrhea, eating disorder, and osteoporosis
must be considered in any female athlete with stress fracture
2-4x increased risk
hormonal dysregulation of hypothalamic-pituitary-gonadal (HPG) axis
decrease in estrogen levels which is necessary for osteoblast maturation
increased osteoclast activity relative to osteoblast activity
oral-contraceptives use increases bone mineral density
FAI
associated with 50% of FNF stress fractures
42% CAM lesion
78% pincer lesion","insidious
onset of thigh or groin pain
may radiate to knee
pain increases with repetitive weight-bearing activities
pain improves with cessation of activity
completion of fracture may be associated with cracking or popping and inability to bear weight"
rotator cuff arthropathy,"Pathophysiology
cuff tear arthropathy
mechanical factors
loss of the concavity due to compression effect
decreased range of motion and shoulder function
humeral head migration
instability with possible recurrent dislocations
nutritional factors
loss of water tight joint space
decreased joint fluid
cartilage atrophy (decrease in water and glycosaminoglycan content) and subchondral collapse (disuse osteoporosis)
crystalline-induced arthropathy
degradation proteins in the synovium destroy the rotator cuff and cartilage
end-stage disease leads to calcium phosphate crystal deposits
Rotator cuff arthropathy is characterized by the combination of
rotator cuff insufficiency
glenohumeral cartilage destruction
superior migration of the humeral head
subchondral osteoporosis
humeral head collapse","pain, including night-pain
subjective weakness
subjective stiffness"
high tibial osteotomy,"Use
predominately done for
varus deformities
less common for valgus deformities
Angular deformity in the knee leads to abnormal distribution of weight bearing stresses
can
accelerate wear in medial or lateral compartments
of the knee and lead to degeneration
HTO is commonly combined with cartilage restoration procedures
to provide better mechanical environment for biologic repair",pain on medial or lateral side of knee
dupuytrens disease,"Pathophysiology
cytokine-mediated transformation of normal fibroblasts into
abnormal
myofibroblasts
, turning
normal
fascial bands into pathological
cords
contractile properties are abnormal and exaggerated
differs from fibroblast as the myofibroblast has
intra
cellular
actin
filaments aligned along long axis of cell
adjacent myofibroblasts connect via
extra
cellular
fibronectin
to act together to create contracted tissue
increase in ratio of
type III
to type I collagen
increase in free radical formation
cytokines released by macrophages and lymphocytes have been implicated
TGFbeta1
, TGFbeta2, epidermal growth factor, PDGF, connective tissue growth factor
Risk factors for increased severity and recurrence after treatment
male gender
onset before age 50
bilateral disease
sibling/parent involvement
Dupuytren's Diathesis
age <50, white men, bilateral hands, family history, ectopic disease outside the palm including Ledderhose, Peyronies, Garrod pads
Associated conditions
medical
tuberculosis
chronic pulmonary disease
HIV/AIDS
tobacco use
alcohol use
diabetes
epilepsy
antiseizure medications
ectopic manifestations (Ledderhose, Peyronie's, Garrod)
Peyronie's disease (dartos fascia of penis) 2-8%
Garrod disease (knuckle pads)  40-50%
Ledderhose disease (plantar fascia) 10-30%","decreased ROM affecting ADL
painless nodules unless compressing nearby neurovasculature"
de quervains tenosynovitis,"Pathophysiology
pathoanatomy
thickening and swelling of extensor retinaculum causes increased tendon friction
NOT considered an inflammatory process
may be related to accumulation of mucopolysaccharides","gradual onset
radial sided wrist pain
pain exacerbated by gripping and raising objects with wrist in neutral"
non ossifying fibroma,"Mechanism
non-ossifying fibroma (NOF) is a benign fibrogenic lesion that is related to dysfunctional ossification
one of the
most common benign bone tumors in childhood (with osteochondroma)
other names
metaphyseal fibrous defect
nonosteogenic fibroma
cortical desmoid
fibrous cortical defect
fibromatosis
fibroxanthoma
Pathophysiology
possibly due to abnormal osteoclastic resorption at the subperiosteal level during remodeling of the metaphysis
Associated conditions
Jaffe-Campanacci syndrome
congenital syndrome of multiple non-ossifying fibromas and
cafe au lait pigmentation
mental retardation
heart, eyes, gonads involved
neurofibromatosis
familial multifocal NOF
ABC","asymptomatic
usually found incidentally
may present with pathologic fracture"
pediatric spondylolysis and spondylolisthesis,"Pathophysiology
conditions represent a continuum of disease including
pars stress reaction
defined as sclerosis of pars without complete bone disruption
spondylolysis
defined as a complete fracture of the pars interarticularis
mechanism
defects are
not
present at birth and develop over time (seen in 4-6% if population)
usually activity related and occurs from
repetitive hyperextension
isthmic spondylolisthesis (spondylolytic spondylolithesis)
defined as forward translation of one vertebral segment over the one beneath it due to a pars defect
risks of progression
approximately
15%
of individuals with a pars interarticularis lesion have
progression to spondylolisthesis
the larger the slip the more likely it is to progress
> Myerding 2 (>50% slip)
dysplastic slips (Wiltse Type I) are more likely to progress
severity of current slip
correlates most strongly with pelvic incidence
spondyloptosis
100% translation of one vertebra over the next caudal vertebra
Genetics
possible autosomal dominant inheritance pattern","asymptomatic
many cases of spondylolysis are asymptomatic
low back pain
no association between radiologic grade and clinical presentation
symptoms include insidious onset of activity related low back pain
leg symptoms
buttock pain
hamstring tightness
(most common) and knee contracture
radicular pain (L5 nerve root)
listhetic crisis
severe back pain aggravated by extension and relieved by rest
neurologic deficit
hamstring spasm
bowel and bladder symptoms
rare
cauda equina syndrome (rare)"
cervical facet dislocations and fractures,"Pathoanatomy
represent spectrum of osteoligamentous pathology that includes
facet fractures
more frequently involves superior facet
may be unilateral or bilateral
decreases the threshold for facet dislocation
loss of tethering effect of interlocked facets
unilateral facet dislocation
most frequently missed cervical spine injury on plain xrays
leads to ~25% subluxation on xray
associated with monoradiculopathy that improves with traction
inferior facet of the cephalad vertebrae encrouches the neuroforamina
bilateral facet dislocation
leads to ~50% subluxation on xray
often associated with significant spinal cord injury (~80% of cases)
mechanism
flexion and distraction forces +/- an element of rotation
rotational moment associated with unilateral facet dislocation
Associated injuries
head injuries
noncontiguous spinal injuries
often occurs in the thoracolumbar, cervicothoracic, and occipitocervical junction
appendicular injuries","pain
neck pain in setting of flexion-distraction mechanism
unilateral dislocation
numbness and tingling radiating down a single arm
C5/6 presents with numbness in thumb
C6/7 presents with numbness in index and middle finger
bilateral dislocation
subjective weakness in b/l upper and lower extremeties
paresthesias and sensory changes in b/l lower extremities"
fhl tendonitis and injuries,"Pathophysiology
mechanism of injury
activities involving maximal plantar-flexion
pathoanatomy
posterior to the talus
within the fibro-osseous tunnel
in chronic cases nodule formation may lead to triggering
Associated conditions
posterior ankle impingement
os trigonum (posterolateral tubercle)","posteromedial ankle pain
great toe locking with active range of motion
crepitus along the posterior medial ankle
dancers will typically endure symptoms for a longer period of time prior to seeking orthopaedic care when compared to non-dancers"
elbow dislocation  pediatric,"Pathophysiology
mechanism of injury
fall onto an
outstretched hand
pathoanatomy
posterior dislocation
hyperextension, valgus stress, and supination
anterior dislocation
a direct posterior to anterior force on a flexed elbow
relatively small coronoid process
in children cannot resist distal and posterior displacement of ulna
Associated conditions
traumatic
avulsion of the medial epicondyle
medial epicondyle fractures are
the most common associated
fracture
incarcerated intra-articular bone fragment may block reduction
fractures of proximal radius, olecranon and coronoid process
neurovascular injury
brachial artery and median nerve
may be stretched over displaced proximal fragment
ulnar nerve
at risk with associated medial epicondyle avulsions
most common neuropraxia
congenital
dislocation of radial head","painful and swollen elbow
attempts at motion are painful and restricted"
flexible pes planovalgus flexible flatfoot,"Pathoanatomy
generalized ligamentous laxity is common
25% are associated with gastrocnemius-soleus contracture","usually asymptomatic in children
may have arch pain or pretibial pain"
slipped capital femoral epiphysis scfe,"Pathophysiology
mechanism
occurs due to axial and rotational mechanical forces which act on a susceptible physis
direction of slip/angulation
metaphysis
translates
anterior and externally rotates
epiphysis
remains in the acetabulum and lies posterior/inferior to the translated metaphysis
pathoanatomy
slippage occurs though the
hypertrophic zone
of the physis
histology sections reveal granulation tissue between the columns in the hypertrophic zone
cartilage in the hypertrophic zone acts as a weak spot
increased risk in adolescence because:
the perichondrial ring
thins and weakens
undulating mammillary processes in physis unlocks, further destabilizing the physis
physis is still vertical in this age group (160° at birth to 125° at skeletal maturity), which results in increased shearing forces
the epiphyseal tubercle can provide a rotational pivot point
this represents an anatomic structure in the posterior superior epiphysis that shrinks with skeletal maturity
similar to
Salter-Harris type I
fracture, but may differ based on
antecedent epiphysiolysis
slower displacement
periosteum remains intact (chronic SCFE)
in acute SCFE, periosteum can be partially torn anteriorly over the prominent metaphysis
Associated conditions
endocrine disorders
associated conditions
hypothyroidism
most common etiology of nonidiopathic SCFE
labs: elevated TSH
renal osteodystrophy
labs: elevated BUN and creatinine
growth hormone deficiency
panhypopituitarism
endocrine workup indicated if
child is
< 10 years old
weight is
< 50th percentile
Down syndrome","pain in hip (52%), groin (14%) and thigh (35%)
pain is most common presenting symptom
knee pain
15-50% present with knee pain
due to pain activation of the
medial obturator nerve
can lead to missed diagnosis
patients prefer to sit in a chair with affected leg crossed over the other
duration
symptoms are usually present for
weeks to several months
before diagnosis is made
88% of patients that presented with an unstable SCFE had unappreciated antecedent symptoms for ~42 days prior to diagnosis"
tarsal coalition,"Two types
congenital
most common
acquired
less common and caused by
trauma
degenerative
infections
Pathophysiology
embryology
failure of mesenchymal segmentation
leading to coalition between two or three tarsal bones
develops into a fibrous coalition, or undergoes metaplasia to cartilage +/-  bone
pathoanatomy
gait mechanics
subtalar joint will normally rotate 10 degrees internally during stance phase
in presence of coalition, internal rotation does not occur
deformity
flattening of longitudinal arch
abduction of forefoot
valgus hindfoot
peroneal spasticity (
also known as peroneal spastic flatfoot)
pain generator theories
ossification of previously fibrous or cartilaginous coalition
microfracture at coalition bone interface
secondary chondral damage or degenerative changes
increased stress on other hindfoot joints
Associated conditions
nonsyndromic
autosomal dominant
syndromic
fibular hemimelia
carpal coalition
FGFR-associated craniosynostosis (
FGFR-1, FGFR-2, FGFR-3
)
Apert syndrome, Pfeiffer, Crouzon, Jackson-Weiss and Muenke","asymptomatic
most coalitions are found incidentally
75% of people are
asymptomatic
pain
location of pain
sinus tarsi and inferior fibula suggests
calcaneonavicular
distal to medial malleolus or medial foot suggests talocalcaneal
pain worsened by activity
onset of symptoms correlates with
age of ossification of coalition
calf pain
secondary to peroneal spasticity"
intrinsic plus hand,"Pathophysiology
trauma
direct trauma
indirect trauma
vascular injury
compartment syndrome
rheumatoid arthritis
MCP joint dislocations and ulnar deviation lead to spastic intrinsics
neurologic pathology
traumatic brain injury
cerebral palsy
cerebrovascular accident
Parkinson's syndrome
Pathoanatomy
spastic intrinsics
leads to flexion of the MCP and extension of the IP joints
EDC weakness
fails to provide balancing extension force to MCP joint
FDS & FDP weakness
fail to provide balancing flexion force to PIP and DIP joints",difficulty gripping large objects
hand and forearm compartment syndrome,"Pathophysiology
local trauma and soft tissue destruction
>
bleeding and edema
>
increased interstitial pressure
>
vascular occlusion
>
myoneural ischemia
Causes
trauma
fractures (most common)
distal radius fractures in adults
supracondylar humerus fracture in children
crush injuries
contusions
gunshot wounds
tight casts, dressings, or external wrappings
extravasation of IV infusion
burns
postischemic swelling
bleeding disorders
arterial injury","pain out of proportion
to clinical situation is usually first symptom
may be absent in cases of nerve damage
difficult to assess in
polytrauma
sedated patients
children"
tka patellar maltracking,"Causes
may be related to
prosthetic design
extensor mechanism imbalance
asymmetric patellar resection
malrotation
internal rotation of components
patellar malpositioning","complaints may include
feelings of subluxation
frank dislocation
peri-patellar pain
limited flexion"
ewings sarcoma,"Pathophysiology
cell biology
cell of origin in Ewing's Sarcoma unknown, however,
thought to be of neuroectodermal origin
Genetics
mutations
t(11:22) translocation
found in 85-95% of cases
leads to the formation of a
fusion protein (EWS-FLI1)
can be identified with PCR/FISH and useful to differentiate Ewing sarcoma from other round cell lesions
less common translocations including t(21:22) with fusion protein EWS-ERG comprise remaining 10-15%
Associated conditions
metastatic disease
lungs (50%), bone (25%), bone marrow (20%) are common sites
26-28% present with distant macrometastases
secondary malignant neoplasm
secondary to treatment with chemotherapy +/- radiation
hematologic secondary malignancy
acute myeloid leukemia
myelodysplastic syndrome
solid secondary tumors
sarcoma
carcinoma","pain
most common presenting symptom
often worsens at night
swelling, erythema
often mimics an
infection
mass
may not be palpable until it is quite large
fever (25%)
weight loss"
